title,topic,prob
Introduction to the special issue: Are parks working? Exploring human-environment tradeoffs in protected area conservation,topic  42,0.322
Inventory of Forest Attributes to Support the Integration of Non-provisioning Ecosystem Services and Biodiversity into Forest Planning-from Collecting Data to Providing Information,topic  22,0.224
Inventory of Forest Attributes to Support the Integration of Non-provisioning Ecosystem Services and Biodiversity into Forest Planning-from Collecting Data to Providing Information,topic  30,0.123
Inventory of Forest Attributes to Support the Integration of Non-provisioning Ecosystem Services and Biodiversity into Forest Planning-from Collecting Data to Providing Information,topic  32,0.593
"Investigating the Impact of Agricultural Activities Extension on the Environment in Zayanderood Basin, Iran",topic  21,0.106
"Investigating the Impact of Agricultural Activities Extension on the Environment in Zayanderood Basin, Iran",topic  29,0.262
"Investigating the Impact of Agricultural Activities Extension on the Environment in Zayanderood Basin, Iran",topic  48,0.594
Investigating the Impacts of Urbanization on Vegetation Net Primary Productivity: A Case Study of Chengdu-Chongqing Urban Agglomeration from the Perspective of Townships,topic  11,0.224
Investigating the Impacts of Urbanization on Vegetation Net Primary Productivity: A Case Study of Chengdu-Chongqing Urban Agglomeration from the Perspective of Townships,topic  16,0.676
Investigating the Impacts of Urbanization on Vegetation Net Primary Productivity: A Case Study of Chengdu-Chongqing Urban Agglomeration from the Perspective of Townships,topic  34,0.077
"Investigating the present status, spatial change, and emerging issues related to riparian wetlands of Bhagirathi-Jalangi Floodplain (BJF) in lower deltaic West Bengal, India",topic  2,0.277
"Investigating the present status, spatial change, and emerging issues related to riparian wetlands of Bhagirathi-Jalangi Floodplain (BJF) in lower deltaic West Bengal, India",topic  15,0.234
"Investigating the present status, spatial change, and emerging issues related to riparian wetlands of Bhagirathi-Jalangi Floodplain (BJF) in lower deltaic West Bengal, India",topic  24,0.171
"Investigating the present status, spatial change, and emerging issues related to riparian wetlands of Bhagirathi-Jalangi Floodplain (BJF) in lower deltaic West Bengal, India",topic  31,0.128
"Investigating the present status, spatial change, and emerging issues related to riparian wetlands of Bhagirathi-Jalangi Floodplain (BJF) in lower deltaic West Bengal, India",topic  48,0.103
"Investigating the present status, spatial change, and emerging issues related to riparian wetlands of Bhagirathi-Jalangi Floodplain (BJF) in lower deltaic West Bengal, India",topic  49,0.082
Investigating whether connecting people can promote subnational economic development: Evidence from China-ASEAN friendship cities,topic  9,0.755
Investigating whether connecting people can promote subnational economic development: Evidence from China-ASEAN friendship cities,topic  16,0.237
Investigation and Prediction of the Land Use/Land Cover (LU/LC) and Land Surface Temperature (LST) Changes for Mashhad City in Iran during 1990-2030,topic  15,0.232
Investigation and Prediction of the Land Use/Land Cover (LU/LC) and Land Surface Temperature (LST) Changes for Mashhad City in Iran during 1990-2030,topic  16,0.278
Investigation and Prediction of the Land Use/Land Cover (LU/LC) and Land Surface Temperature (LST) Changes for Mashhad City in Iran during 1990-2030,topic  48,0.43
Investigation of Cultural-Environmental Relationships for an Alternative Environmental Management Approach Using Planet Smallsat Constellations and Questionnaire Datasets,topic  2,0.052
Investigation of Cultural-Environmental Relationships for an Alternative Environmental Management Approach Using Planet Smallsat Constellations and Questionnaire Datasets,topic  6,0.065
Investigation of Cultural-Environmental Relationships for an Alternative Environmental Management Approach Using Planet Smallsat Constellations and Questionnaire Datasets,topic  9,0.107
Investigation of Cultural-Environmental Relationships for an Alternative Environmental Management Approach Using Planet Smallsat Constellations and Questionnaire Datasets,topic  43,0.131
Investigation of Cultural-Environmental Relationships for an Alternative Environmental Management Approach Using Planet Smallsat Constellations and Questionnaire Datasets,topic  48,0.348
Investigation of Cultural-Environmental Relationships for an Alternative Environmental Management Approach Using Planet Smallsat Constellations and Questionnaire Datasets,topic  49,0.167
"Investigation of PV utilizability on university buildings: A case study of Karachi, Pakistan",topic  27,0.97
Investigation of Potential of Solar Photovoltaic System as an Alternative Electric Supply on the Tropical Island of Mantanani Sabah Malaysia,topic  12,0.994
Investigation of Suitable Areas for Integrated Multi-Trophic Culture of <i>Kappaphycus alvarezii</i> and <i>Crassostrea gigas</i> in Santa Elena-Ecuador,topic  30,0.266
Investigation of Suitable Areas for Integrated Multi-Trophic Culture of <i>Kappaphycus alvarezii</i> and <i>Crassostrea gigas</i> in Santa Elena-Ecuador,topic  40,0.542
Investigation of Suitable Areas for Integrated Multi-Trophic Culture of <i>Kappaphycus alvarezii</i> and <i>Crassostrea gigas</i> in Santa Elena-Ecuador,topic  42,0.159
"Investigation of Technical Potential of Rooftop Solar Power in Central Highlands, Vietnam",topic  4,0.118
"Investigation of Technical Potential of Rooftop Solar Power in Central Highlands, Vietnam",topic  12,0.183
"Investigation of Technical Potential of Rooftop Solar Power in Central Highlands, Vietnam",topic  27,0.691
Investigation of satellite rainfall-driven rainfall-runoff model using deep learning approaches in two different catchments in India,topic  47,0.946
IoT-Equipped UAV Communications with Seamless Vertical Handover,topic  5,0.179
IoT-Equipped UAV Communications with Seamless Vertical Handover,topic  18,0.364
IoT-Equipped UAV Communications with Seamless Vertical Handover,topic  21,0.4
Irrigation retrieval from Landsat optical/thermal data integrated into a crop water balance model: A case study over winter wheat fields in a semi-arid region,topic  10,0.646
Irrigation retrieval from Landsat optical/thermal data integrated into a crop water balance model: A case study over winter wheat fields in a semi-arid region,topic  41,0.051
Irrigation retrieval from Landsat optical/thermal data integrated into a crop water balance model: A case study over winter wheat fields in a semi-arid region,topic  49,0.216
Is Expansion or Regulation more Critical for Existing Protected Areas? A Case Study on China's Eco-Redline Policy in Chongqing Capital,topic  11,0.344
Is Expansion or Regulation more Critical for Existing Protected Areas? A Case Study on China's Eco-Redline Policy in Chongqing Capital,topic  32,0.108
Is Expansion or Regulation more Critical for Existing Protected Areas? A Case Study on China's Eco-Redline Policy in Chongqing Capital,topic  38,0.168
Is Expansion or Regulation more Critical for Existing Protected Areas? A Case Study on China's Eco-Redline Policy in Chongqing Capital,topic  48,0.35
Is Ocean Reflectance Acquired by Citizen Scientists Robust for Science Applications?,topic  14,0.158
Is Ocean Reflectance Acquired by Citizen Scientists Robust for Science Applications?,topic  24,0.35
Is Ocean Reflectance Acquired by Citizen Scientists Robust for Science Applications?,topic  36,0.17
Is Ocean Reflectance Acquired by Citizen Scientists Robust for Science Applications?,topic  45,0.215
"Is There a Relationship between Increased Land-Use Intensity and the Rise in PM<sub>2.5</sub> Pollution Levels in the Yangtze River Economic Belt, China (2000-2021)?",topic  11,0.478
"Is There a Relationship between Increased Land-Use Intensity and the Rise in PM<sub>2.5</sub> Pollution Levels in the Yangtze River Economic Belt, China (2000-2021)?",topic  16,0.371
"Is There a Relationship between Increased Land-Use Intensity and the Rise in PM<sub>2.5</sub> Pollution Levels in the Yangtze River Economic Belt, China (2000-2021)?",topic  27,0.071
"Is There a Relationship between Increased Land-Use Intensity and the Rise in PM<sub>2.5</sub> Pollution Levels in the Yangtze River Economic Belt, China (2000-2021)?",topic  48,0.063
Is improving Nile water quality `fruitful'?,topic  10,0.058
Is improving Nile water quality `fruitful'?,topic  31,0.494
Is improving Nile water quality `fruitful'?,topic  35,0.068
Is improving Nile water quality `fruitful'?,topic  36,0.154
Is improving Nile water quality `fruitful'?,topic  41,0.216
Is the impact of loggings in the last primeval lowland forest in Europe underestimated? The conservation issues of Bialowieza Forest,topic  17,0.597
Is the impact of loggings in the last primeval lowland forest in Europe underestimated? The conservation issues of Bialowieza Forest,topic  32,0.097
Is the impact of loggings in the last primeval lowland forest in Europe underestimated? The conservation issues of Bialowieza Forest,topic  38,0.278
Is there sustainability for ``satellite{''} ornamental fishing regions? A case study of Guama River basin- Para -Brasil,topic  9,0.943
Is there sustainability for ``satellite{''} ornamental fishing regions? A case study of Guama River basin- Para -Brasil,topic  29,0.051
"Island urbanization and its ecological consequences: A case study in the Zhoushan Island, East China",topic  2,0.38
"Island urbanization and its ecological consequences: A case study in the Zhoushan Island, East China",topic  16,0.33
"Island urbanization and its ecological consequences: A case study in the Zhoushan Island, East China",topic  30,0.07
"Island urbanization and its ecological consequences: A case study in the Zhoushan Island, East China",topic  34,0.063
Isolated trees and small woody patches greatly contribute to connectivity in highly fragmented tropical landscapes,topic  25,0.229
Isolated trees and small woody patches greatly contribute to connectivity in highly fragmented tropical landscapes,topic  32,0.608
Isolated trees and small woody patches greatly contribute to connectivity in highly fragmented tropical landscapes,topic  48,0.157
Joint Use of Airborne LiDAR Metrics and Topography Information to Estimate Forest Parameters via Neural Networks,topic  13,0.115
Joint Use of Airborne LiDAR Metrics and Topography Information to Estimate Forest Parameters via Neural Networks,topic  21,0.476
Joint Use of Airborne LiDAR Metrics and Topography Information to Estimate Forest Parameters via Neural Networks,topic  32,0.301
Joint Use of Airborne LiDAR Metrics and Topography Information to Estimate Forest Parameters via Neural Networks,topic  38,0.103
Just add water and the Colorado River still reaches the sea,topic  5,0.593
Just add water and the Colorado River still reaches the sea,topic  25,0.085
Just add water and the Colorado River still reaches the sea,topic  29,0.171
Just add water and the Colorado River still reaches the sea,topic  36,0.068
Just add water and the Colorado River still reaches the sea,topic  39,0.078
Karstic water storage response to the recent droughts in Southwest China estimated from satellite gravimetry,topic  15,0.841
Karstic water storage response to the recent droughts in Southwest China estimated from satellite gravimetry,topic  29,0.153
Keeping up with remote sensing and GI advances- Policy and legal perspectives,topic  4,0.27
Keeping up with remote sensing and GI advances- Policy and legal perspectives,topic  14,0.361
Keeping up with remote sensing and GI advances- Policy and legal perspectives,topic  20,0.357
Keynote - Total Design Data Needs for the New Generation Large-Scale Activity Microsimulation Models,topic  14,0.147
Keynote - Total Design Data Needs for the New Generation Large-Scale Activity Microsimulation Models,topic  22,0.711
Keynote - Total Design Data Needs for the New Generation Large-Scale Activity Microsimulation Models,topic  27,0.138
Knowledge Mapping of Machine Learning Approaches Applied in Agricultural Management-A Scientometric Review with CiteSpace,topic  22,0.715
Knowledge Mapping of Machine Learning Approaches Applied in Agricultural Management-A Scientometric Review with CiteSpace,topic  41,0.158
Knowledge Transfer in Vertical Relationship. The Case Study of Val D'Agri Oil District,topic  12,0.272
Knowledge Transfer in Vertical Relationship. The Case Study of Val D'Agri Oil District,topic  16,0.169
Knowledge Transfer in Vertical Relationship. The Case Study of Val D'Agri Oil District,topic  20,0.555
Knowledge-Based Landslide Susceptibility Zonation System,topic  14,0.234
Knowledge-Based Landslide Susceptibility Zonation System,topic  19,0.652
Knowledge-Based Landslide Susceptibility Zonation System,topic  28,0.107
"Knowledge-Based Raster Mapping Approach to Wetland Assessment: a Case Study in Suzhou, China",topic  2,0.105
"Knowledge-Based Raster Mapping Approach to Wetland Assessment: a Case Study in Suzhou, China",topic  19,0.629
"Knowledge-Based Raster Mapping Approach to Wetland Assessment: a Case Study in Suzhou, China",topic  32,0.083
"Knowledge-Based Raster Mapping Approach to Wetland Assessment: a Case Study in Suzhou, China",topic  46,0.095
LAKE WATER QUALITY MONITORING TOOLS,topic  6,0.396
LAKE WATER QUALITY MONITORING TOOLS,topic  14,0.282
LAKE WATER QUALITY MONITORING TOOLS,topic  20,0.315
"LAND SURFACE ALBEDO AND DOWNWELLING SHORTWAVE RADIATION FROM MSG GEOSTATIONARY SATELLITE: METHOD FOR RETRIEVAL, VALIDATION, AND APPLICATION",topic  15,0.647
"LAND SURFACE ALBEDO AND DOWNWELLING SHORTWAVE RADIATION FROM MSG GEOSTATIONARY SATELLITE: METHOD FOR RETRIEVAL, VALIDATION, AND APPLICATION",topic  20,0.254
"LAND SURFACE ALBEDO AND DOWNWELLING SHORTWAVE RADIATION FROM MSG GEOSTATIONARY SATELLITE: METHOD FOR RETRIEVAL, VALIDATION, AND APPLICATION",topic  47,0.093
"LAND SURFACE ALBEDO FROM MSG/SEVIRI: RETRIEVAL METHOD, VALIDATION, AND APPLICATION FOR WEATHER FORECAST",topic  15,0.553
"LAND SURFACE ALBEDO FROM MSG/SEVIRI: RETRIEVAL METHOD, VALIDATION, AND APPLICATION FOR WEATHER FORECAST",topic  20,0.24
"LAND SURFACE ALBEDO FROM MSG/SEVIRI: RETRIEVAL METHOD, VALIDATION, AND APPLICATION FOR WEATHER FORECAST",topic  47,0.172
"LAND USE CHANGES AND THEIR EFFECTS ON URBAN ECOSYSTEM SERVICES VALUE: A STUDY OF KHULNA CITY, BANGLADESH",topic  2,0.618
"LAND USE CHANGES AND THEIR EFFECTS ON URBAN ECOSYSTEM SERVICES VALUE: A STUDY OF KHULNA CITY, BANGLADESH",topic  16,0.214
"LAND USE CHANGES AND THEIR EFFECTS ON URBAN ECOSYSTEM SERVICES VALUE: A STUDY OF KHULNA CITY, BANGLADESH",topic  48,0.156
"LAND USE LAND COVER CHANGE DETECTION IN GIBE SHELEKO NATIONAL PARK, SOUTHWESTERN ETHIOPIA",topic  17,0.108
"LAND USE LAND COVER CHANGE DETECTION IN GIBE SHELEKO NATIONAL PARK, SOUTHWESTERN ETHIOPIA",topic  38,0.285
"LAND USE LAND COVER CHANGE DETECTION IN GIBE SHELEKO NATIONAL PARK, SOUTHWESTERN ETHIOPIA",topic  48,0.523
LIDAR-DERIVED CANOPY ARCHITECTURE PREDICTS BROWN CREEPER OCCUPANCY OF TWO WESTERN CONIFEROUS FORESTS,topic  25,0.066
LIDAR-DERIVED CANOPY ARCHITECTURE PREDICTS BROWN CREEPER OCCUPANCY OF TWO WESTERN CONIFEROUS FORESTS,topic  26,0.158
LIDAR-DERIVED CANOPY ARCHITECTURE PREDICTS BROWN CREEPER OCCUPANCY OF TWO WESTERN CONIFEROUS FORESTS,topic  32,0.501
LIDAR-DERIVED CANOPY ARCHITECTURE PREDICTS BROWN CREEPER OCCUPANCY OF TWO WESTERN CONIFEROUS FORESTS,topic  37,0.269
LOCATING EXISTING BEST MANAGEMENT PRACTICES WITHIN A WATERSHED: THE VALUE OF MULTIPLE METHODS,topic  10,0.213
LOCATING EXISTING BEST MANAGEMENT PRACTICES WITHIN A WATERSHED: THE VALUE OF MULTIPLE METHODS,topic  13,0.118
LOCATING EXISTING BEST MANAGEMENT PRACTICES WITHIN A WATERSHED: THE VALUE OF MULTIPLE METHODS,topic  14,0.346
LOCATING EXISTING BEST MANAGEMENT PRACTICES WITHIN A WATERSHED: THE VALUE OF MULTIPLE METHODS,topic  21,0.196
LOCATING EXISTING BEST MANAGEMENT PRACTICES WITHIN A WATERSHED: THE VALUE OF MULTIPLE METHODS,topic  33,0.116
LONG TERM SOIL PRODUCTIVITY STUDY USING VERY HIGH SPATIAL RESOLUTION IMAGERY,topic  23,0.239
LONG TERM SOIL PRODUCTIVITY STUDY USING VERY HIGH SPATIAL RESOLUTION IMAGERY,topic  34,0.209
LONG TERM SOIL PRODUCTIVITY STUDY USING VERY HIGH SPATIAL RESOLUTION IMAGERY,topic  45,0.357
LONG TERM SOIL PRODUCTIVITY STUDY USING VERY HIGH SPATIAL RESOLUTION IMAGERY,topic  49,0.06
"LUCC and Ecosystem Service Value Assessment for Wetlands: A Case Study in Nansi Lake, China",topic  2,0.587
"LUCC and Ecosystem Service Value Assessment for Wetlands: A Case Study in Nansi Lake, China",topic  3,0.127
"LUCC and Ecosystem Service Value Assessment for Wetlands: A Case Study in Nansi Lake, China",topic  6,0.1
"LUCC and Ecosystem Service Value Assessment for Wetlands: A Case Study in Nansi Lake, China",topic  48,0.139
Lake Nasser evaporation reduction study,topic  6,0.604
Lake Nasser evaporation reduction study,topic  14,0.138
Lake Nasser evaporation reduction study,topic  15,0.07
Lake Nasser evaporation reduction study,topic  33,0.073
"Lake Water Quality and Dynamics Assessment during 1990-2020 (A Case Study: Chao Lake, China)",topic  15,0.219
"Lake Water Quality and Dynamics Assessment during 1990-2020 (A Case Study: Chao Lake, China)",topic  24,0.135
"Lake Water Quality and Dynamics Assessment during 1990-2020 (A Case Study: Chao Lake, China)",topic  36,0.564
Lakes' state and abundance across the Tibetan Plateau,topic  6,0.86
Lakes' state and abundance across the Tibetan Plateau,topic  29,0.054
Lakes' state and abundance across the Tibetan Plateau,topic  49,0.08
Land Cover Change and Its Driving Forces in Nepal Since 1990,topic  16,0.057
Land Cover Change and Its Driving Forces in Nepal Since 1990,topic  48,0.851
"Land Cover Changes from 1990 to 2019 in Papua, Indonesia: Results of the Remote Sensing Imagery",topic  22,0.089
"Land Cover Changes from 1990 to 2019 in Papua, Indonesia: Results of the Remote Sensing Imagery",topic  31,0.172
"Land Cover Changes from 1990 to 2019 in Papua, Indonesia: Results of the Remote Sensing Imagery",topic  38,0.516
"Land Cover Changes from 1990 to 2019 in Papua, Indonesia: Results of the Remote Sensing Imagery",topic  48,0.143
Land Cover Classification Based on Fused Data from GF-1 and MODIS NDVI Time Series,topic  13,0.564
Land Cover Classification Based on Fused Data from GF-1 and MODIS NDVI Time Series,topic  24,0.26
Land Cover Classification Based on Fused Data from GF-1 and MODIS NDVI Time Series,topic  48,0.064
Land Cover Classification Based on Fused Data from GF-1 and MODIS NDVI Time Series,topic  49,0.107
Land Cover Mapping and Its Spatial Pattern Analysis in Nepal,topic  11,0.068
Land Cover Mapping and Its Spatial Pattern Analysis in Nepal,topic  13,0.148
Land Cover Mapping and Its Spatial Pattern Analysis in Nepal,topic  34,0.244
Land Cover Mapping and Its Spatial Pattern Analysis in Nepal,topic  38,0.079
Land Cover Mapping and Its Spatial Pattern Analysis in Nepal,topic  48,0.304
Land Cover Mapping and Its Spatial Pattern Analysis in Nepal,topic  49,0.051
"Land Suitability Analysis for In Situ Slum Redevelopment of Pune City Using AHP, Remote Sensing and GIS Techniques",topic  12,0.586
"Land Suitability Analysis for In Situ Slum Redevelopment of Pune City Using AHP, Remote Sensing and GIS Techniques",topic  16,0.147
"Land Suitability Analysis for In Situ Slum Redevelopment of Pune City Using AHP, Remote Sensing and GIS Techniques",topic  19,0.084
"Land Suitability Analysis for In Situ Slum Redevelopment of Pune City Using AHP, Remote Sensing and GIS Techniques",topic  40,0.06
"Land Suitability Analysis for In Situ Slum Redevelopment of Pune City Using AHP, Remote Sensing and GIS Techniques",topic  48,0.117
Land Use Change Monitoring on the Process of Urbanization in the Central Plains Economic Zone Based on Remote Sensing and GIS Technologies,topic  14,0.125
Land Use Change Monitoring on the Process of Urbanization in the Central Plains Economic Zone Based on Remote Sensing and GIS Technologies,topic  16,0.315
Land Use Change Monitoring on the Process of Urbanization in the Central Plains Economic Zone Based on Remote Sensing and GIS Technologies,topic  27,0.178
Land Use Change Monitoring on the Process of Urbanization in the Central Plains Economic Zone Based on Remote Sensing and GIS Technologies,topic  48,0.324
Land Use Changes from Unconventional Gas Development in Public Lands of the Fayetteville Shale,topic  9,0.533
Land Use Changes from Unconventional Gas Development in Public Lands of the Fayetteville Shale,topic  25,0.15
Land Use Changes from Unconventional Gas Development in Public Lands of the Fayetteville Shale,topic  38,0.137
Land Use Changes from Unconventional Gas Development in Public Lands of the Fayetteville Shale,topic  48,0.134
"Land Use Evaluation over the Jema Watershed, in the Upper Blue Nile River Basin, Northwestern Highlands of Ethiopia",topic  33,0.581
"Land Use Evaluation over the Jema Watershed, in the Upper Blue Nile River Basin, Northwestern Highlands of Ethiopia",topic  48,0.389
Land Use Land Cover Change in the fringe of eThekwini Municipality: Implications for urban green spaces using remote sensing,topic  16,0.51
Land Use Land Cover Change in the fringe of eThekwini Municipality: Implications for urban green spaces using remote sensing,topic  48,0.483
"Land Use Management and Plant Utilization of a Swidden System in Northern Laos: A Case Study of Kachet Village, Nam Bak District, Luang Phabang Province",topic  1,0.651
"Land Use Management and Plant Utilization of a Swidden System in Northern Laos: A Case Study of Kachet Village, Nam Bak District, Luang Phabang Province",topic  38,0.068
"Land Use Management and Plant Utilization of a Swidden System in Northern Laos: A Case Study of Kachet Village, Nam Bak District, Luang Phabang Province",topic  41,0.091
"Land Use Management and Plant Utilization of a Swidden System in Northern Laos: A Case Study of Kachet Village, Nam Bak District, Luang Phabang Province",topic  48,0.107
"Land Use Management and Plant Utilization of a Swidden System in Northern Laos: A Case Study of Kachet Village, Nam Bak District, Luang Phabang Province",topic  50,0.078
Land Use Planning for Hillside Development Using GIS Based Analytic Hierarchy Process,topic  8,0.059
Land Use Planning for Hillside Development Using GIS Based Analytic Hierarchy Process,topic  19,0.737
Land Use Planning for Hillside Development Using GIS Based Analytic Hierarchy Process,topic  40,0.084
Land Use Planning for Hillside Development Using GIS Based Analytic Hierarchy Process,topic  48,0.082
Land Use and Cover Dynamics Since 1964 in the Afro-Alpine Vegetation Belt: Lib Amba Mountain in North Ethiopia,topic  24,0.062
Land Use and Cover Dynamics Since 1964 in the Afro-Alpine Vegetation Belt: Lib Amba Mountain in North Ethiopia,topic  30,0.601
Land Use and Cover Dynamics Since 1964 in the Afro-Alpine Vegetation Belt: Lib Amba Mountain in North Ethiopia,topic  38,0.155
Land Use and Cover Dynamics Since 1964 in the Afro-Alpine Vegetation Belt: Lib Amba Mountain in North Ethiopia,topic  48,0.145
"Land Use and Land Cover Change Effects on the Value of Ecosystem Services in the Konqi River Basin, China, under Ecological Water Conveyance Conditions",topic  2,0.142
"Land Use and Land Cover Change Effects on the Value of Ecosystem Services in the Konqi River Basin, China, under Ecological Water Conveyance Conditions",topic  11,0.352
"Land Use and Land Cover Change Effects on the Value of Ecosystem Services in the Konqi River Basin, China, under Ecological Water Conveyance Conditions",topic  29,0.437
"Land Use and Land Cover Dynamics and Assessing the Ecosystem Service Values in the Trans-Boundary Gandaki River Basin, Central Himalayas",topic  2,0.322
"Land Use and Land Cover Dynamics and Assessing the Ecosystem Service Values in the Trans-Boundary Gandaki River Basin, Central Himalayas",topic  29,0.169
"Land Use and Land Cover Dynamics and Assessing the Ecosystem Service Values in the Trans-Boundary Gandaki River Basin, Central Himalayas",topic  38,0.093
"Land Use and Land Cover Dynamics and Assessing the Ecosystem Service Values in the Trans-Boundary Gandaki River Basin, Central Himalayas",topic  48,0.403
"Land Use/Land Cover Change Modeling and the Prediction of Subsequent Changes in Ecosystem Service Values in a Coastal Area of China, the Su-Xi-Chang Region",topic  2,0.432
"Land Use/Land Cover Change Modeling and the Prediction of Subsequent Changes in Ecosystem Service Values in a Coastal Area of China, the Su-Xi-Chang Region",topic  48,0.518
Land Use/Land Cover Changes and Associated Impacts on Water Yield Availability and Variations in the Mereb-Gash River Basin in the Horn of Africa,topic  2,0.12
Land Use/Land Cover Changes and Associated Impacts on Water Yield Availability and Variations in the Mereb-Gash River Basin in the Horn of Africa,topic  15,0.357
Land Use/Land Cover Changes and Associated Impacts on Water Yield Availability and Variations in the Mereb-Gash River Basin in the Horn of Africa,topic  29,0.105
Land Use/Land Cover Changes and Associated Impacts on Water Yield Availability and Variations in the Mereb-Gash River Basin in the Horn of Africa,topic  38,0.084
Land Use/Land Cover Changes and Associated Impacts on Water Yield Availability and Variations in the Mereb-Gash River Basin in the Horn of Africa,topic  41,0.072
Land Use/Land Cover Changes and Associated Impacts on Water Yield Availability and Variations in the Mereb-Gash River Basin in the Horn of Africa,topic  48,0.254
Land cover change and environment dynamics by GIS and aerial remote sensing,topic  3,0.553
Land cover change and environment dynamics by GIS and aerial remote sensing,topic  8,0.291
Land cover change and environment dynamics by GIS and aerial remote sensing,topic  17,0.117
Land cover change detection in the Aralkum with multi-source satellite datasets,topic  13,0.522
Land cover change detection in the Aralkum with multi-source satellite datasets,topic  33,0.115
Land cover change detection in the Aralkum with multi-source satellite datasets,topic  36,0.074
Land cover change detection in the Aralkum with multi-source satellite datasets,topic  38,0.064
Land cover change detection in the Aralkum with multi-source satellite datasets,topic  48,0.135
Land cover change detection in the Aralkum with multi-source satellite datasets,topic  49,0.066
Land cover in Norway based on an area frame survey of vegetation types,topic  14,0.345
Land cover in Norway based on an area frame survey of vegetation types,topic  24,0.054
Land cover in Norway based on an area frame survey of vegetation types,topic  40,0.333
Land cover in Norway based on an area frame survey of vegetation types,topic  48,0.26
"Land cover mapping integrated GIS and time-series MODIS 250 m NDVI data: an assessment in Lhasa river basin, Tibet",topic  13,0.292
"Land cover mapping integrated GIS and time-series MODIS 250 m NDVI data: an assessment in Lhasa river basin, Tibet",topic  14,0.143
"Land cover mapping integrated GIS and time-series MODIS 250 m NDVI data: an assessment in Lhasa river basin, Tibet",topic  24,0.17
"Land cover mapping integrated GIS and time-series MODIS 250 m NDVI data: an assessment in Lhasa river basin, Tibet",topic  29,0.081
"Land cover mapping integrated GIS and time-series MODIS 250 m NDVI data: an assessment in Lhasa river basin, Tibet",topic  48,0.145
"Land cover mapping integrated GIS and time-series MODIS 250 m NDVI data: an assessment in Lhasa river basin, Tibet",topic  49,0.159
Land quality assessment and sustainable land use in Salt Lake (Tuz Golu) specially protected area,topic  6,0.116
Land quality assessment and sustainable land use in Salt Lake (Tuz Golu) specially protected area,topic  11,0.116
Land quality assessment and sustainable land use in Salt Lake (Tuz Golu) specially protected area,topic  14,0.16
Land quality assessment and sustainable land use in Salt Lake (Tuz Golu) specially protected area,topic  31,0.151
Land quality assessment and sustainable land use in Salt Lake (Tuz Golu) specially protected area,topic  33,0.346
Land quality assessment and sustainable land use in Salt Lake (Tuz Golu) specially protected area,topic  48,0.103
Land reclamation and risk assessment in the coastal zone of China from 2000 to 2010,topic  2,0.751
Land reclamation and risk assessment in the coastal zone of China from 2000 to 2010,topic  25,0.079
Land reclamation and risk assessment in the coastal zone of China from 2000 to 2010,topic  39,0.093
Land surface temperature as potential indicator of burn severity in forest Mediterranean ecosystems,topic  13,0.116
Land surface temperature as potential indicator of burn severity in forest Mediterranean ecosystems,topic  15,0.186
Land surface temperature as potential indicator of burn severity in forest Mediterranean ecosystems,topic  24,0.092
Land surface temperature as potential indicator of burn severity in forest Mediterranean ecosystems,topic  44,0.525
Land surface temperature as potential indicator of burn severity in forest Mediterranean ecosystems,topic  49,0.075
Land use and cover change dynamics in Zambia's Solwezi copper mining district,topic  3,0.241
Land use and cover change dynamics in Zambia's Solwezi copper mining district,topic  38,0.313
Land use and cover change dynamics in Zambia's Solwezi copper mining district,topic  48,0.39
Land use and land cover change in Arctic Russia: Ecological and social implications of industrial development,topic  9,0.15
Land use and land cover change in Arctic Russia: Ecological and social implications of industrial development,topic  35,0.051
Land use and land cover change in Arctic Russia: Ecological and social implications of industrial development,topic  37,0.548
Land use and land cover change in Arctic Russia: Ecological and social implications of industrial development,topic  48,0.073
Land use and land cover change in Arctic Russia: Ecological and social implications of industrial development,topic  50,0.133
Land use and land cover changes in the Brazilian Cerrado: A multidisciplinary approach to assess the impacts of agricultural expansion,topic  17,0.198
Land use and land cover changes in the Brazilian Cerrado: A multidisciplinary approach to assess the impacts of agricultural expansion,topic  20,0.058
Land use and land cover changes in the Brazilian Cerrado: A multidisciplinary approach to assess the impacts of agricultural expansion,topic  33,0.057
Land use and land cover changes in the Brazilian Cerrado: A multidisciplinary approach to assess the impacts of agricultural expansion,topic  48,0.681
Land use and land cover dynamics and ecosystem services values in Kewet district in the central dry lowlands of Ethiopia,topic  2,0.266
Land use and land cover dynamics and ecosystem services values in Kewet district in the central dry lowlands of Ethiopia,topic  38,0.179
Land use and land cover dynamics and ecosystem services values in Kewet district in the central dry lowlands of Ethiopia,topic  48,0.508
Land use and land cover modeling in Central Benin,topic  16,0.064
Land use and land cover modeling in Central Benin,topic  27,0.317
Land use and land cover modeling in Central Benin,topic  48,0.555
Land use classification from social media data and satellite imagery,topic  13,0.339
Land use classification from social media data and satellite imagery,topic  14,0.158
Land use classification from social media data and satellite imagery,topic  16,0.168
Land use classification from social media data and satellite imagery,topic  17,0.162
Land use classification from social media data and satellite imagery,topic  28,0.106
Land use classification from social media data and satellite imagery,topic  48,0.061
Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,topic  27,0.649
Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,topic  38,0.054
Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,topic  48,0.214
"Land use mapping using Sentinel-1 and Sentinel-2 time series in a heterogeneous landscape in Niger, Sahel",topic  13,0.691
